Id,Title,Solved?,Author,Difficulty,Liked,Disliked,Like-Dislike
12843,Little Blue Dots,,zyleak,1.33,6,-3,3
12842,this is a lines puzzle,,zyleak,1.27,6,-3,3
12841,Oh my lord,,zyleak,1.22,5,-2,3
12840,Checker Boards,,zyleak,1.38,3,-3,0
12839,Europe,,klontje_boter,1.43,5,-1,4
12838,LOL!!!,,klontje_boter,1.43,3,-1,2
12837,Trappen snake,,klontje_boter,1.57,4,-1,3
12836,Faster Than Light,,axorion,3.00,0,0,0
12835,Are you nice?????????,,zyleak,1.25,5,-2,3
12834,The Arrows,,zyleak,1.38,3,-3,0
12833,when waterfalls make an x,,zyleak,1.43,10,-3,7
12832,Water STaircase,,zyleak,1.05,16,-4,12
12831,THIS IS EASY,,zyleak,1.30,6,-2,4
12830,Happy time,,tijl,1.27,10,-2,8
12829,Spinny,,Original_Doge,1.44,5,-4,1
12828,ARF!,,Original_Doge,1.56,5,-1,4
12827,YUM.,,Original_Doge,1.20,8,-3,5
12826,Tricks,,Original_Doge,1.20,20,-8,12
12825,chain,,Original_Doge,1.50,5,-2,3
12824,more trolololol,,zyleak,1.27,6,-4,2
12823,Iteration 2000,,zyleak,1.04,23,-5,18
12822,yeet teey,,zyleak,1.14,12,-4,8
12821,I love this face,,zyleak,1.20,15,-2,13
12820,Out Of Reach,,axorion,3.25,3,0,3
12819,This is easy,,zyleak,1.16,18,-7,11
12818,Exponential,,dutchen18,2.29,3,0,3
12817,hardest,,smithia818,1.18,6,-2,4
12816,Repurposed,,axorion,3.33,3,0,3
12815,Endless waterfalls,,scorpio,4.00,1,0,1
12814,A challenge to younsle,,axorion,2.38,5,0,5
12813,Nine_stack,,younsle,1.63,4,-1,3
12812,The troll,,zyleak,1.33,17,-1,16
12811,The Box,,zyleak,1.27,17,-2,15
12810,The Blood Staircase,,zyleak,1.13,14,-1,13
12809,STAIRCASE,,zyleak,1.26,16,-5,11
12808,Multiple stacks in one function V,,scorpio,4.00,2,0,2
12807,Brazil,,Coroi199837,1.13,15,-2,13
12806,Colors separation (Lite edition),,scorpio,5.00,1,0,1
12805,Thoughts on Mazhar,,jnpollack,3.00,4,0,4
12804,E,,Bogerdj656,1.27,5,-1,4
12803,Boomerang paths XXS,,scorpio,2.50,1,0,1
12802,Vertigo illusion,,scorpio,4.00,3,0,3
12801,Pointless,,axorion,?,0,0,0
12800,Vertigo Delusion,,axorion,3.00,5,0,5
12799,Boomerang paths,,scorpio,3.00,2,0,2
12798,Boomerang paths (light edition),,scorpio,3.25,4,0,4
